date,snapshot_year_int,rank_int,symbol,company_name,market_cap,market_cap_text,source_url
1989-12-31,1989,1,XOM,Exxon Mobil,62590000000.0,62.59B,https://www.finhacker.cz/en/stocks/exxon-mobil-market-cap/
1989-12-31,1989,2,IBM,IBM,52030000000.0,52.03B,https://www.finhacker.cz/en/stocks/international-business-machines-market-cap/
1989-12-31,1989,3,GE,General Electric,35780000000.0,35.78B,https://www.finhacker.cz/en/stocks/ge-aerospace-market-cap/
1989-12-31,1989,4,BMY,Bristol-Myers Squibb,28000000000.0,28.00B,https://www.finhacker.cz/en/stocks/bristol-myers-squibb-market-cap/
1989-12-31,1989,5,MRK,Merck,27580000000.0,27.58B,https://www.finhacker.cz/en/stocks/merck-market-cap/
1989-12-31,1989,6,KO,Coca-Cola,26370000000.0,26.37B,https://www.finhacker.cz/en/stocks/coca-cola-market-cap/
1989-12-31,1989,7,WMT,Walmart,25390000000.0,25.39B,https://www.finhacker.cz/en/stocks/walmart-market-cap/
1989-12-31,1989,8,PG,Procter & Gamble,22990000000.0,22.99B,https://www.finhacker.cz/en/stocks/procter-gamble-market-cap/
1989-12-31,1989,9,VZ,Verizon Communications,21990000000.0,21.99B,https://www.finhacker.cz/en/stocks/verizon-communications-market-cap/
1989-12-31,1989,10,JNJ,Johnson & Johnson,19770000000.0,19.77B,https://www.finhacker.cz/en/stocks/johnson-johnson-market-cap/
1989-12-31,1989,11,LLY,Eli Lilly,19060000000.0,19.06B,https://www.finhacker.cz/en/stocks/eli-lilly-market-cap/
1989-12-31,1989,12,PEP,PepsiCo,16860000000.0,16.86B,https://www.finhacker.cz/en/stocks/pepsico-market-cap/
1989-12-31,1989,13,DIS,Walt Disney,15170000000.0,15.17B,https://www.finhacker.cz/en/stocks/walt-disney-market-cap/
1989-12-31,1989,14,T,AT&T,14370000000.0,14.37B,https://www.finhacker.cz/en/stocks/att-market-cap/
1989-12-31,1989,15,MMM,3M,14360000000.0,14.36B,https://www.finhacker.cz/en/stocks/3m-market-cap/
1989-12-31,1989,16,AIG,AIG,14010000000.0,14.01B,https://www.finhacker.cz/en/stocks/american-international-group-market-cap/
1989-12-31,1989,17,BA,Boeing,13680000000.0,13.68B,https://www.finhacker.cz/en/stocks/boeing-market-cap/
1989-12-31,1989,18,MCD,McDonald’s,12770000000.0,12.77B,https://www.finhacker.cz/en/stocks/mcdonalds-market-cap/
1989-12-31,1989,19,PFE,Pfizer,10900000000.0,10.90B,https://www.finhacker.cz/en/stocks/pfizer-market-cap/
1989-12-31,1989,20,SLB,Schlumberger,10370000000.0,10.37B,https://www.finhacker.cz/en/stocks/schlumberger-market-cap/
1990-12-31,1990,1,XOM,Exxon Mobil,64430000000.00001,64.43B,https://www.finhacker.cz/en/stocks/exxon-mobil-market-cap/
1990-12-31,1990,2,IBM,IBM,61680000000.0,61.68B,https://www.finhacker.cz/en/stocks/international-business-machines-market-cap/
