strategy,layer,policy,year,return
dv2,central,moo,2010,0.20305251916301081
dv2,central,moo,2011,-0.03285981098483659
dv2,central,moo,2012,0.006961081441510419
dv2,central,moo,2013,0.583981874976355
dv2,central,moo,2014,0.07608341961162246
dv2,central,moo,2015,0.12485508791836875
dv2,central,moo,2016,0.14970907773372533
dv2,central,moo,2017,0.13233093310021826
dv2,central,moo,2018,0.0603654394599884
dv2,central,moo,2019,0.1689955339579461
dv2,central,moo,2020,0.8098402745564781
dv2,central,moo,2021,0.2884638904212904
dv2,central,moo,2022,0.05326992220540783
dv2,central,moo,2023,0.13554252785722243
dv2,central,moo,2024,0.27774858500947563
dv2,central,moo,2025,0.10468184906373312
dv2,central,moo,2026,0.3602185654654253
dv2,central,limit_0.5pct,2010,0.12965617144589103
dv2,central,limit_0.5pct,2011,-0.007950500641014324
dv2,central,limit_0.5pct,2012,-0.03184782306396283
dv2,central,limit_0.5pct,2013,0.47976274585480994
dv2,central,limit_0.5pct,2014,0.038317011381783894
dv2,central,limit_0.5pct,2015,0.13838357964595294
dv2,central,limit_0.5pct,2016,0.160021496665681
dv2,central,limit_0.5pct,2017,0.13007757669953146
dv2,central,limit_0.5pct,2018,0.03166956400179943
dv2,central,limit_0.5pct,2019,0.14270876076619254
dv2,central,limit_0.5pct,2020,0.8525811901375253
dv2,central,limit_0.5pct,2021,0.31801544477260557
dv2,central,limit_0.5pct,2022,0.023386010559407477
dv2,central,limit_0.5pct,2023,0.07252734960402796
dv2,central,limit_0.5pct,2024,0.26393349679851896
dv2,central,limit_0.5pct,2025,0.16434857316080698
dv2,central,limit_0.5pct,2026,0.40632830537639664
dv2,central,limit_1pct,2010,0.1502078023253366
dv2,central,limit_1pct,2011,0.018655009288623736
dv2,central,limit_1pct,2012,-0.03400122234536229
dv2,central,limit_1pct,2013,0.45818559740602915
dv2,central,limit_1pct,2014,-0.01681535239427534
dv2,central,limit_1pct,2015,0.20612150949269736
dv2,central,limit_1pct,2016,0.2614959729238491
dv2,central,limit_1pct,2017,0.18148597504867503
dv2,central,limit_1pct,2018,-0.052504463201977325
dv2,central,limit_1pct,2019,0.11978859722791713
dv2,central,limit_1pct,2020,0.7048579719886987
dv2,central,limit_1pct,2021,0.3037637514545135
dv2,central,limit_1pct,2022,-0.01152949969790984
dv2,central,limit_1pct,2023,0.09453926738892404
dv2,central,limit_1pct,2024,0.2776674842418636
dv2,central,limit_1pct,2025,0.3291080840507117
dv2,central,limit_1pct,2026,0.5067297033680822
dv2,central,limit_2pct,2010,0.1845905357028501
dv2,central,limit_2pct,2011,0.002543004681214045
dv2,central,limit_2pct,2012,0.01901250877845495
dv2,central,limit_2pct,2013,0.22144045543762791
dv2,central,limit_2pct,2014,0.1143097700784017
dv2,central,limit_2pct,2015,0.21542073656924243
dv2,central,limit_2pct,2016,0.13379952814049645
dv2,central,limit_2pct,2017,0.15751387331146582
dv2,central,limit_2pct,2018,-0.06337419277083223
dv2,central,limit_2pct,2019,0.15431461885681652
dv2,central,limit_2pct,2020,0.5382231970684641
dv2,central,limit_2pct,2021,0.17940130109311436
dv2,central,limit_2pct,2022,0.08381366843671922
dv2,central,limit_2pct,2023,0.08243616019623379
dv2,central,limit_2pct,2024,0.14766686973293996
dv2,central,limit_2pct,2025,0.24048951406181995
dv2,central,limit_2pct,2026,0.3874643074208661
dv2,stress,moo,2010,0.09853773372473595
dv2,stress,moo,2011,-0.11249872249402004
dv2,stress,moo,2012,-0.07780844712521351
dv2,stress,moo,2013,0.42564547449981305
dv2,stress,moo,2014,-0.026650678200699995
dv2,stress,moo,2015,0.024655988233439396
dv2,stress,moo,2016,0.046801557680761
dv2,stress,moo,2017,0.02624314599502009
dv2,stress,moo,2018,-0.0378702504703875
dv2,stress,moo,2019,0.05955961296216117
dv2,stress,moo,2020,0.6305170942185165
dv2,stress,moo,2021,0.15904549161082704
dv2,stress,moo,2022,-0.030607363983542912
dv2,stress,moo,2023,0.034486604808422916
dv2,stress,moo,2024,0.15074961959908362
dv2,stress,moo,2025,-0.0016210338015606451
dv2,stress,moo,2026,0.25169815474860746
dv2,stress,limit_0.5pct,2010,0.049160500874059876
dv2,stress,limit_0.5pct,2011,-0.10779983858259856
dv2,stress,limit_0.5pct,2012,-0.12123538141932966
dv2,stress,limit_0.5pct,2013,0.3131777034673706
dv2,stress,limit_0.5pct,2014,-0.06870331899141002
dv2,stress,limit_0.5pct,2015,0.0494297504984742
dv2,stress,limit_0.5pct,2016,0.07404943199171243
dv2,stress,limit_0.5pct,2017,0.0335917212920378
dv2,stress,limit_0.5pct,2018,-0.09253476014349116
dv2,stress,limit_0.5pct,2019,0.025652202091510423
dv2,stress,limit_0.5pct,2020,0.5898166597147971
dv2,stress,limit_0.5pct,2021,0.12693466137165266
dv2,stress,limit_0.5pct,2022,-0.06823443589494071
dv2,stress,limit_0.5pct,2023,-0.02496404378568151
dv2,stress,limit_0.5pct,2024,0.1821699758304851
dv2,stress,limit_0.5pct,2025,0.04760880201470408
dv2,stress,limit_0.5pct,2026,0.2847642362254177
dv2,stress,limit_1pct,2010,0.06953611176556129
dv2,stress,limit_1pct,2011,-0.08173306579968864
dv2,stress,limit_1pct,2012,-0.11599615104494432
dv2,stress,limit_1pct,2013,0.323212188390797
dv2,stress,limit_1pct,2014,-0.08816503513228535
dv2,stress,limit_1pct,2015,0.09366755315217401
dv2,stress,limit_1pct,2016,0.16598758857892548
dv2,stress,limit_1pct,2017,0.09402681607287722
dv2,stress,limit_1pct,2018,-0.13164644847890905
dv2,stress,limit_1pct,2019,0.05917484940187823
dv2,stress,limit_1pct,2020,0.5213449800544672
dv2,stress,limit_1pct,2021,0.16528318735189163
dv2,stress,limit_1pct,2022,-0.06634554234508905
dv2,stress,limit_1pct,2023,0.013361502922216495
dv2,stress,limit_1pct,2024,0.1342361776195362
dv2,stress,limit_1pct,2025,0.1817339890878833
dv2,stress,limit_1pct,2026,0.3319262985379581
dv2,stress,limit_2pct,2010,0.1527885690986468
dv2,stress,limit_2pct,2011,-0.041565909147341595
dv2,stress,limit_2pct,2012,-0.01945808518481651
dv2,stress,limit_2pct,2013,0.15955253696949256
dv2,stress,limit_2pct,2014,0.06418776731614972
dv2,stress,limit_2pct,2015,0.18340676290418845
dv2,stress,limit_2pct,2016,0.06963304927891767
dv2,stress,limit_2pct,2017,0.12387699561001919
dv2,stress,limit_2pct,2018,-0.11898170119469831
dv2,stress,limit_2pct,2019,0.10189859824500602
dv2,stress,limit_2pct,2020,0.4486269254803401
dv2,stress,limit_2pct,2021,0.08928971561854415
dv2,stress,limit_2pct,2022,0.022287057712962355
dv2,stress,limit_2pct,2023,0.026400766560322975
dv2,stress,limit_2pct,2024,0.08606432311077805
dv2,stress,limit_2pct,2025,0.14642162056079333
dv2,stress,limit_2pct,2026,0.31998505526180687
hpi235,central,moo,2010,0.04389284326011689
hpi235,central,moo,2011,0.1504707207391216
hpi235,central,moo,2012,0.1606667266069839
hpi235,central,moo,2013,0.15128488090024006
hpi235,central,moo,2014,0.06999758810939505
hpi235,central,moo,2015,0.0315793032538938
hpi235,central,moo,2016,0.13380520439483878
hpi235,central,moo,2017,0.06747048686830737
hpi235,central,moo,2018,0.009626954675165722
hpi235,central,moo,2019,0.20806038720324915
hpi235,central,moo,2020,0.45243003296448103
hpi235,central,moo,2021,0.537075049094691
hpi235,central,moo,2022,0.1950581277059511
hpi235,central,moo,2023,0.23174710687979827
hpi235,central,moo,2024,0.08802130761180305
hpi235,central,moo,2025,0.09756550727542002
hpi235,central,moo,2026,0.16067640368087543
hpi235,central,limit_0.5pct,2010,0.04912670659043705
hpi235,central,limit_0.5pct,2011,0.12441126178206297
hpi235,central,limit_0.5pct,2012,0.19705112319386364
