strategy,policy,date,asset,status,notional_at_open,adv63,participation
dv2,moo,2013-05-06,A,filled,14283.200412750244,155716780.19047618,9.172550572442303e-05
dv2,moo,2013-11-26,A,filled,18661.905632019043,137252772.95238096,0.0001359674214997003
dv2,moo,2014-02-18,A,filled,17662.273056030273,151019772.8888889,0.00011695338112463652
dv2,moo,2019-07-10,A,filled,33552.48083496094,185877716.57142857,0.0001805083549219709
dv2,moo,2023-01-10,A,filled,91910.15551757812,193215078.47619048,0.00047568831709427916
dv2,moo,2025-12-01,A,filled,145675.69358825684,252920082.7936508,0.0005759751933463854
dv2,moo,2013-01-04,AABA-201910,filled,11909.670372962952,412354086.6031746,2.8882144641927896e-05
dv2,moo,2013-05-15,AABA-201910,filled,14939.65459728241,405003320.1269841,3.688773364277175e-05
dv2,moo,2013-07-09,AABA-201910,filled,15380.594444274902,424788962.03174603,3.6207613236253194e-05
dv2,moo,2013-07-23,AABA-201910,filled,16305.779592514038,476432674.53968257,3.422472988081323e-05
dv2,moo,2013-08-05,AABA-201910,filled,17124.270262241364,493092662.6031746,3.472830070485643e-05
dv2,moo,2013-10-17,AABA-201910,filled,17827.508125305176,555130228.5714285,3.211410081411431e-05
dv2,moo,2013-10-24,AABA-201910,filled,18801.90658569336,548442294.6031746,3.428237896805074e-05
dv2,moo,2014-01-31,AABA-201910,filled,16652.81598186493,648510950.6031746,2.5678542461582622e-05
dv2,moo,2014-09-23,AABA-201910,filled,19041.753215789795,1127636797.9682539,1.688642411288699e-05
dv2,moo,2015-01-30,AABA-201910,filled,20787.366448402405,1030152917.0793651,2.0178913347484025e-05
dv2,moo,2015-03-04,AABA-201910,filled,21072.154653549194,844021861.8412699,2.4966361188298354e-05
dv2,moo,2015-04-01,AABA-201910,filled,20853.390823364258,760718835.3015873,2.741274417781035e-05
dv2,moo,2015-04-06,AAL,filled,20403.6993560791,748155946.1587301,2.7271987158343343e-05
dv2,moo,2017-07-26,AAL,filled,26074.450550079346,294272580.06349206,8.86064564508645e-05
dv2,moo,2017-09-28,AAL,filled,26009.679321289062,278954412.95238096,9.323989194510093e-05
dv2,moo,2017-10-27,AAL,filled,27206.419914245605,272976153.26984125,9.966592168712857e-05
dv2,moo,2020-12-01,AAL,filled,61919.4803276062,867596710.6031746,7.136896621537241e-05
dv2,moo,2021-01-29,AAL,filled,69022.17197227478,1218442821.079365,5.664785476854061e-05
dv2,moo,2021-06-07,AAL,filled,84906.82920646667,873721541.5873016,9.717836308833053e-05
dv2,moo,2021-08-16,AAL,filled,81468.65215301514,689188451.5555556,0.00011820954336819432
dv2,moo,2023-01-31,AAL,filled,89447.87127876282,405637333.0793651,0.00022051193020062055
dv2,moo,2015-08-18,AAP,filled,21229.080139160156,193175277.07936507,0.00010989542999562152
dv2,moo,2015-08-27,AAP,filled,19700.339721679688,189382930.41269842,0.0001040238403680269
dv2,moo,2015-09-21,AAP,filled,20918.40087890625,196109165.84126985,0.00010666712485961793
dv2,moo,2015-10-23,AAP,filled,20920.680725097656,178416884.57142857,0.00011725729196174892
dv2,moo,2015-11-11,AAP,filled,21769.439453125,174291170.03174603,0.00012490270992592358
dv2,moo,2018-04-16,AAP,filled,30475.050086975098,147382832.76190478,0.00020677476145547548
dv2,moo,2018-05-23,AAP,filled,31155.579917907715,131413429.46031746,0.0002370806396717291
dv2,moo,2018-11-01,AAP,filled,32471.88136291504,178115249.7777778,0.00018230826054157622
dv2,moo,2018-12-10,AAP,filled,33226.37951660156,188802970.85714287,0.00017598441044522649
