policy,date,asset,notional,notional_missing,adv_min,adv_max,sleeves,adv_missing,adv_mismatch,participation
limit_0.5pct,2010-01-05,AMZN,9960.549095630646,0,1236539155.8095238,1236539155.8095238,1,0,False,8.055182926342339e-06
limit_0.5pct,2010-01-05,AVB-202608,9955.872734069824,0,106481300.44444445,106481300.44444445,1,0,False,9.349878985807655e-05
limit_0.5pct,2010-01-05,BBWI,9960.334380149841,0,83598446.07936507,83598446.07936507,1,0,False,0.00011914497035858648
limit_0.5pct,2010-01-05,BXP,9962.691902160645,0,117009658.34920634,117009658.34920634,1,0,False,8.514418418715279e-05
limit_0.5pct,2010-01-05,CCL,10065.481300354004,0,136018954.6031746,136018954.6031746,1,0,False,7.400057829968856e-05
limit_0.5pct,2010-01-05,DOC,20035.966827392578,0,105312662.22222222,105312662.22222222,2,0,False,0.0001902522109365568
limit_0.5pct,2010-01-05,ODP-202512,20150.0,0,42717884.253968254,42717884.253968254,2,0,False,0.000471699391294834
limit_0.5pct,2010-01-05,PCG,9992.64013671875,0,84391370.95238096,84391370.95238096,1,0,False,0.00011840831620518691
limit_0.5pct,2010-01-05,SPG,10008.901977539062,0,240631860.57142857,240631860.57142857,1,0,False,4.159425087671649e-05
limit_0.5pct,2010-01-05,VMRK,9970.677757263184,0,111601142.79365079,111601142.79365079,1,0,False,8.934207578589809e-05
limit_0.5pct,2010-01-05,VNO,9979.338256835938,0,157568351.23809522,157568351.23809522,1,0,False,6.333339264149917e-05
limit_0.5pct,2010-01-06,APH,10010.140203475952,0,55828845.73015873,55828845.73015873,1,0,False,0.00017930050447144524
limit_0.5pct,2010-01-06,MAT,9945.0,0,86541954.34920634,86541954.34920634,1,0,False,0.00011491536185872146
limit_0.5pct,2010-01-06,SO,10000.080093383789,0,148917212.8888889,148917212.8888889,1,0,False,6.715194234023917e-05
limit_0.5pct,2010-01-06,TRV,9893.299655914307,0,231983960.25396827,231983960.25396827,1,0,False,4.264648144243875e-05
limit_0.5pct,2010-01-06,XLV,13636.363636363636,0,180772260.19047618,180772260.19047618,1,0,False,7.543393893507371e-05
limit_0.5pct,2010-01-07,AES,9960.649914741516,0,90702744.82539682,90702744.82539682,1,0,False,0.00010981641111209822
limit_0.5pct,2010-01-07,ICE,9932.196224212646,0,100324420.95238096,100324420.95238096,1,0,False,9.900078295918567e-05
limit_0.5pct,2010-01-07,LUMN,10023.859481811523,0,95059139.17460318,95059139.17460318,1,0,False,0.00010544866668106315
limit_0.5pct,2010-01-07,R,9959.679962158203,0,35939877.0,35939877.0,1,0,False,0.0002771205912073156
limit_0.5pct,2010-01-07,SRE,9951.150169372559,0,80943064.09523809,80943064.09523809,1,0,False,0.00012294012193143537
limit_0.5pct,2010-01-08,AGN-201503,9918.549751281738,0,95364316.38095239,95364316.38095239,1,0,False,0.00010400692971635271
limit_0.5pct,2010-01-08,ANF,9851.499767303467,0,152766212.92063493,152766212.92063493,1,0,False,6.448742545199779e-05
