strategy,policy,p50,p90,p99,max,missing_adv,missing_request_notional
dv2,limit_0.5pct,0.00013557596782311004,0.0004542117228263664,0.0010448247035270794,0.004570075732458216,0,0
dv2,limit_1pct,0.00014162306120519647,0.000447054818681757,0.0010272043011303824,0.005393047196391214,0,0
dv2,limit_2pct,0.00013089164939330674,0.0003782204982450407,0.0007653477629640676,0.005476956980084318,0,0
dv2,moo,0.00015881816178276887,0.0005623205667682043,0.0012799665171107026,0.007124853058473772,0,0
hpi235,limit_0.5pct,0.00013655904699519638,0.0004900863508002591,0.0012644042842312737,0.0078819414769203,3,7
hpi235,limit_1pct,0.00013882050834461594,0.00045957608378589354,0.0010913085747650552,0.006890850076962162,3,7
hpi235,limit_2pct,9.474246712716272e-05,0.00027822326226610594,0.0005920251769574217,0.0039807456747480005,3,7
hpi235,moo,0.00010797725123323495,0.0003679306134315641,0.0009338673883363403,0.00598341302979019,3,5
sector,limit_0.5pct,3.261843465952582e-05,0.0008944616653054751,0.0050690334671666575,0.00831088064996834,0,0
sector,limit_1pct,2.6793407673411406e-05,0.0007763781512471368,0.004468891004532297,0.008292239447265903,0,0
sector,limit_2pct,2.2509089507022715e-05,0.0006465909807767795,0.004222612847661852,0.008305195569668022,0,0
sector,moo,3.6790623600196314e-05,0.0010626407150318865,0.0055350598011447,0.008256028028895745,0,0
