layer,policy,date,asset,order_id,side,reference_symbol_known,exact_observed_ohlc,native_only_ohlc,native_forced_liquidation
central,moo,2010-01-05,ODP-202512,16124,entry,True,True,False,False
central,moo,2010-01-05,VMRK,16125,entry,True,True,False,False
central,moo,2010-01-05,AMZN,16126,entry,True,True,False,False
central,moo,2010-01-05,SPG,16127,entry,True,True,False,False
central,moo,2010-01-05,BXP,16128,entry,True,True,False,False
central,moo,2010-01-05,BBWI,16129,entry,True,True,False,False
central,moo,2010-01-05,CCL,16130,entry,True,True,False,False
central,moo,2010-01-05,VNO,16131,entry,True,True,False,False
central,moo,2010-01-05,DOC,16132,entry,True,True,False,False
central,moo,2010-01-05,AVB-202608,16133,entry,True,True,False,False
central,moo,2010-01-06,ODP-202512,16134,exit,True,True,False,False
central,moo,2010-01-06,APH,16135,entry,True,True,False,False
central,moo,2010-01-07,BXP,16136,exit,True,True,False,False
central,moo,2010-01-07,AES,16137,entry,True,True,False,False
central,moo,2010-01-08,VMRK,16138,exit,True,True,False,False
central,moo,2010-01-08,VNO,16139,exit,True,True,False,False
central,moo,2010-01-08,EXPE,16140,entry,True,True,False,False
central,moo,2010-01-08,IP,16141,entry,True,True,False,False
central,moo,2010-01-11,AMZN,16142,exit,True,True,False,False
central,moo,2010-01-11,CCL,16143,exit,True,True,False,False
central,moo,2010-01-11,DOC,16144,exit,True,True,False,False
central,moo,2010-01-11,AES,16145,exit,True,True,False,False
central,moo,2010-01-11,GAP,16146,entry,True,True,False,False
central,moo,2010-01-11,AGN-201503,16147,entry,True,True,False,False
central,moo,2010-01-11,RVTY,16148,entry,True,True,False,False
central,moo,2010-01-12,BBWI,16149,exit,True,True,False,False
central,moo,2010-01-12,AVB-202608,16150,exit,True,True,False,False
central,moo,2010-01-12,APH,16151,exit,True,True,False,False
central,moo,2010-01-12,GAP,16152,exit,True,True,False,False
central,moo,2010-01-12,MSI,16153,entry,True,True,False,False
central,moo,2010-01-12,VIAV,16154,entry,True,True,False,False
central,moo,2010-01-12,SLM,16155,entry,True,True,False,False
central,moo,2010-01-12,OI,16156,entry,True,True,False,False
central,moo,2010-01-12,BBY,16157,entry,True,True,False,False
central,moo,2010-01-14,BBY,16158,exit,True,True,False,False
central,moo,2010-01-14,TFCFA-201903,16159,entry,True,True,False,False
central,moo,2010-01-15,RVTY,16160,exit,True,True,False,False
central,moo,2010-01-15,MSI,16161,exit,True,True,False,False
central,moo,2010-01-15,T,16162,entry,True,True,False,False
central,moo,2010-01-15,MDLZ,16163,entry,True,True,False,False
central,moo,2010-01-20,SPG,16164,exit,True,True,False,False
central,moo,2010-01-20,IP,16165,exit,True,True,False,False
central,moo,2010-01-20,AGN-201503,16166,exit,True,True,False,False
central,moo,2010-01-20,VIAV,16167,exit,True,True,False,False
central,moo,2010-01-20,SLM,16168,exit,True,True,False,False
central,moo,2010-01-20,PXD-202405,16169,entry,True,True,False,False
central,moo,2010-01-20,JBL,16170,entry,True,True,False,False
central,moo,2010-01-20,BBWI,16171,entry,True,True,False,False
central,moo,2010-01-20,FHN,16172,entry,True,True,False,False
central,moo,2010-01-20,KLAC,16173,entry,True,True,False,False
central,moo,2010-01-27,BBWI,16174,exit,True,True,False,False
central,moo,2010-01-27,EXPE,16175,exit,True,True,False,False
central,moo,2010-01-27,TFCFA-201903,16176,exit,True,True,False,False
central,moo,2010-01-27,X-202506,16177,entry,True,True,False,False
central,moo,2010-01-27,HBAN,16178,entry,True,True,False,False
central,moo,2010-01-27,KEY,16179,entry,True,True,False,False
central,moo,2010-01-28,T,16180,exit,True,True,False,False
central,moo,2010-01-28,MDLZ,16181,exit,True,True,False,False
central,moo,2010-01-28,RF,16182,entry,True,True,False,False
central,moo,2010-01-28,MWV-201507,16183,entry,True,True,False,False
central,moo,2010-01-29,HBAN,16184,exit,True,True,False,False
central,moo,2010-01-29,KEY,16185,exit,True,True,False,False
central,moo,2010-01-29,RF,16186,exit,True,True,False,False
central,moo,2010-01-29,THC,16187,entry,True,True,False,False
central,moo,2010-01-29,TER,16188,entry,True,True,False,False
central,moo,2010-01-29,QLGC-201608,16189,entry,True,True,False,False
central,moo,2010-02-01,THC,16190,exit,True,True,False,False
central,moo,2010-02-01,MEE-201106,16191,entry,True,True,False,False
central,moo,2010-02-02,JBL,16192,exit,True,True,False,False
central,moo,2010-02-02,MWV-201507,16193,exit,True,True,False,False
