strategy,policy,actual_fills,same_asset_date_as_moo,different_asset_date_from_moo,end_of_day_slot_cap_frequency
dv2,moo,8067,8067,0,0.7248689852310624
dv2,limit_0.5pct,6966,5429,1537,0.43449261553120533
dv2,limit_1pct,5809,3722,2087,0.2560743211052882
dv2,limit_2pct,3767,1792,1975,0.09099571224392568
hpi235,moo,4714,4714,0,0.44020962363030014
hpi235,limit_0.5pct,4075,3191,884,0.25464506908051454
hpi235,limit_1pct,3256,2117,1139,0.12887089090042878
hpi235,limit_2pct,1918,993,925,0.023344449737970462
sector,moo,943,943,0,0.16674606955693186
sector,limit_0.5pct,651,548,103,0.07217722725107194
sector,limit_1pct,410,301,109,0.02834683182467842
sector,limit_2pct,134,85,49,0.0064316341114816575
