strategy,policy,trade_id,asset,date,exit_date,closed,filled,shares,limit_price,baseline_net_pnl,limit_net_pnl,delta_net_pnl,gross_price_improvement_on_fill,missed_baseline_net_pnl,baseline_open_price_pnl,baseline_return,limit_return_or_zero,limit_return_on_fill_notional,overnight_price_return,open_to_exit_price_return,close_to_exit_price_return
dv2,limit_0.5pct,1,ODP-202512,2010-01-05,2010-01-06,True,False,155.0,,426.8544729042078,0.0,-426.8544729042078,0.0,426.8544729042078,431.3732229042064,0.042367689618283653,0.0,,0.007751937984496138,0.04281620078453652,0.05090004730224629
dv2,limit_1pct,1,ODP-202512,2010-01-05,2010-01-06,True,False,155.0,,426.8544729042078,0.0,-426.8544729042078,0.0,426.8544729042078,431.3732229042064,0.042367689618283653,0.0,,0.007751937984496138,0.04281620078453652,0.05090004730224629
dv2,limit_2pct,1,ODP-202512,2010-01-05,2010-01-06,True,False,155.0,,426.8544729042078,0.0,-426.8544729042078,0.0,426.8544729042078,431.3732229042064,0.042367689618283653,0.0,,0.007751937984496138,0.04281620078453652,0.05090004730224629
dv2,limit_0.5pct,2,VMRK,2010-01-05,2010-01-08,True,True,359.0,27.634608268737793,90.14948736906095,140.0153395025742,49.86585213351324,49.85338878631592,0.0,96.23215680837748,0.009041460326344532,0.014042710326344608,0.014113276709894077,-0.0023952707891924385,0.009651516090596335,0.00723312730684067
dv2,limit_1pct,2,VMRK,2010-01-05,2010-01-08,True,True,359.0,27.49574089050293,90.14948736906095,189.88119163608667,99.73170426702572,99.70677757263184,0.0,96.23215680837748,0.009041460326344532,0.019043960326344606,0.019236323561964246,-0.0023952707891924385,0.009651516090596335,0.00723312730684067
dv2,limit_2pct,2,VMRK,2010-01-05,2010-01-08,True,False,359.0,,90.14948736906095,0.0,-90.14948736906095,0.0,90.14948736906095,96.23215680837748,0.009041460326344532,0.0,,-0.0023952707891924385,0.009651516090596335,0.00723312730684067
dv2,limit_0.5pct,3,AMZN,2010-01-05,2010-01-11,True,True,1493.0,6.638142230510712,-80.36119102144193,-30.545994856919542,49.81519616452238,49.802745478152644,0.0,-62.94105374753406,-0.008067947886195716,-0.003066697886195755,-0.0030821084283374424,-0.0035100771828103783,-0.006319034537477841,-0.009806931421340814
dv2,limit_1pct,3,AMZN,2010-01-05,2010-01-11,True,True,1493.0,6.604784731864929,-80.36119102144193,19.26920130760397,99.63039232904589,99.60549095630661,0.0,-62.94105374753406,-0.008067947886195716,0.0019345521138043197,0.0019540930442467877,-0.0035100771828103783,-0.006319034537477841,-0.009806931421340814
dv2,limit_2pct,3,AMZN,2010-01-05,2010-01-11,True,False,1493.0,,-80.36119102144193,0.0,80.36119102144193,0.0,-80.36119102144193,-62.94105374753406,-0.008067947886195716,0.0,,-0.0035100771828103783,-0.006319034537477841,-0.009806931421340814
dv2,limit_0.5pct,4,SPG,2010-01-05,2010-01-20,True,True,135.0,73.76931457519531,-400.87705806732083,-350.82003705215374,50.057021015167095,50.044509887695696,0.0,-396.3748325729366,-0.04005205156039368,-0.035050801560393696,-0.035226936241601704,0.0011404599546083194,-0.03960222944159508,-0.03850693424377816
dv2,limit_1pct,4,SPG,2010-01-05,2010-01-20,True,True,135.0,73.39861450195312,-400.87705806732083,-300.76301603698613,100.1140420303347,100.08901977539139,0.0,-396.3748325729366,-0.04005205156039368,-0.03004955156039366,-0.03035308238423602,0.0011404599546083194,-0.03960222944159508,-0.03850693424377816
dv2,limit_2pct,4,SPG,2010-01-05,2010-01-20,True,True,135.0,72.65721435546875,-400.87705806732083,-200.6489740066528,200.22808406066804,200.17803955078085,0.0,-396.3748325729366,-0.04005205156039368,-0.020047051560393773,-0.0204561750616263,0.0011404599546083194,-0.03960222944159508,-0.03850693424377816
dv2,limit_0.5pct,5,BXP,2010-01-05,2010-01-07,True,True,159.0,62.34514743804932,144.11105567645973,193.9369685521409,49.82591287568118,49.81345951080318,0.0,148.6017286520002,0.014465071999788115,0.01946632199978814,0.019564142713354916,0.0020864683740811074,0.014915820955957892,0.017033410718737096
dv2,limit_1pct,5,BXP,2010-01-05,2010-01-07,True,True,159.0,62.031855239868165,144.11105567645973,243.76288142782178,99.65182575136205,99.62691902160635,0.0,148.6017286520002,0.014465071999788115,0.024467571999788135,0.024714719191705186,0.0020864683740811074,0.014915820955957892,0.017033410718737096
dv2,limit_2pct,5,BXP,2010-01-05,2010-01-07,True,False,159.0,,144.11105567645973,0.0,-144.11105567645973,0.0,144.11105567645973,148.6017286520002,0.014465071999788115,0.0,,0.0020864683740811074,0.014915820955957892,0.017033410718737096
dv2,limit_0.5pct,6,BBWI,2010-01-05,2010-01-12,True,True,907.0,10.926717429161071,498.33341314244143,548.1475354611681,49.814122318726675,49.80167190074979,0.0,509.8934967374806,0.050031795532445224,0.05503304553244546,0.05530959349994519,-0.0036250007895672898,0.05119240753138343,0.04738183422409503
dv2,limit_1pct,6,BBWI,2010-01-05,2010-01-12,True,True,907.0,10.871809301376343,498.33341314244143,597.9616577798914,99.62824463745,99.60334380149796,0.0,509.8934967374806,0.050031795532445224,0.060034295532445346,0.0606407025580256,-0.0036250007895672898,0.05119240753138343,0.04738183422409503
